Charm++> Running on Gemini (GNI) with 66 processes
Charm++> static SMSG
Charm++> SMSG memory: 325.9KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 66,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 8 9 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 3 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 32
EXCHANGE_ACCEPT 17 (16) 18 (24) RUN 107
EXCHANGE_ACCEPT 20 (20) 21 (17) RUN 108
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 109
EXCHANGE_ACCEPT 21 (20) 22 (21) RUN 109
EXCHANGE_ACCEPT 19 (15) 20 (17) RUN 109
EXCHANGE_ACCEPT 4 (5) 5 (8) RUN 110
EXCHANGE_ACCEPT 6 (4) 7 (6) RUN 110
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 111
EXCHANGE_ACCEPT 1 (2) 2 (3) RUN 111
EXCHANGE_ACCEPT 11 (7) 12 (11) RUN 111
EXCHANGE_ACCEPT 13 (14) 14 (13) RUN 111
EXCHANGE_ACCEPT 30 (30) 31 (32) RUN 112
EXCHANGE_ACCEPT 6 (6) 7 (4) RUN 112
EXCHANGE_ACCEPT 31 (30) 32 (31) RUN 113
EXCHANGE_ACCEPT 3 (0) 4 (8) RUN 113
EXCHANGE_ACCEPT 25 (26) 26 (27) RUN 113
EXCHANGE_ACCEPT 7 (6) 8 (12) RUN 113
EXCHANGE_ACCEPT 21 (21) 22 (20) RUN 113
EXCHANGE_ACCEPT 28 (28) 29 (29) RUN 114
EXCHANGE_ACCEPT 26 (26) 27 (25) RUN 114
EXCHANGE_ACCEPT 4 (0) 5 (5) RUN 114
EXCHANGE_ACCEPT 9 (9) 10 (10) RUN 115
EXCHANGE_ACCEPT 15 (19) 16 (18) RUN 115
EXCHANGE_ACCEPT 0 (1) 1 (3) RUN 116
EXCHANGE_ACCEPT 20 (15) 21 (20) RUN 116
EXCHANGE_ACCEPT 14 (14) 15 (18) RUN 116
EXCHANGE_ACCEPT 5 (0) 6 (4) RUN 117
EXCHANGE_ACCEPT 11 (11) 12 (7) RUN 117
EXCHANGE_ACCEPT 15 (14) 16 (19) RUN 117
EXCHANGE_ACCEPT 0 (3) 1 (1) RUN 118
EXCHANGE_ACCEPT 20 (20) 21 (15) RUN 118
EXCHANGE_ACCEPT 27 (26) 28 (29) RUN 119
EXCHANGE_ACCEPT 21 (20) 22 (21) RUN 119
EXCHANGE_ACCEPT 31 (31) 32 (30) RUN 121
EXCHANGE_ACCEPT 21 (21) 22 (20) RUN 121
EXCHANGE_ACCEPT 19 (17) 20 (15) RUN 121
EXCHANGE_ACCEPT 0 (1) 1 (3) RUN 122
EXCHANGE_ACCEPT 8 (6) 9 (10) RUN 122
EXCHANGE_ACCEPT 20 (17) 21 (20) RUN 122
EXCHANGE_ACCEPT 25 (27) 26 (25) RUN 123
EXCHANGE_ACCEPT 21 (17) 22 (21) RUN 123
EXCHANGE_ACCEPT 0 (3) 1 (1) RUN 124
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 124
EXCHANGE_ACCEPT 7 (12) 8 (10) RUN 125
EXCHANGE_ACCEPT 0 (1) 1 (3) RUN 126
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 126
EXCHANGE_ACCEPT 5 (4) 6 (0) RUN 127
EXCHANGE_ACCEPT 27 (29) 28 (26) RUN 127
EXCHANGE_ACCEPT 21 (21) 22 (17) RUN 127
EXCHANGE_ACCEPT 19 (15) 20 (20) RUN 127
EXCHANGE_ACCEPT 0 (3) 1 (1) RUN 128
EXCHANGE_ACCEPT 4 (5) 5 (0) RUN 128
EXCHANGE_ACCEPT 20 (15) 21 (17) RUN 128
EXCHANGE_ACCEPT 10 (9) 11 (7) RUN 128
EXCHANGE_ACCEPT 12 (11) 13 (13) RUN 128
EXCHANGE_ACCEPT 31 (30) 32 (31) RUN 129
EXCHANGE_ACCEPT 7 (10) 8 (12) RUN 129
EXCHANGE_ACCEPT 19 (20) 20 (17) RUN 129
EXCHANGE_ACCEPT 17 (24) 18 (16) RUN 129
EXCHANGE_ACCEPT 28 (29) 29 (28) RUN 130
EXCHANGE_ACCEPT 4 (0) 5 (5) RUN 130
EXCHANGE_ACCEPT 26 (27) 27 (26) RUN 130
EXCHANGE_ACCEPT 24 (22) 25 (25) RUN 130
EXCHANGE_ACCEPT 8 (10) 9 (6) RUN 130
EXCHANGE_ACCEPT 31 (31) 32 (30) RUN 131
EXCHANGE_ACCEPT 29 (29) 30 (32) RUN 131
